INFO  - 2018-04-08 17:27:58.432; com.turn.ttorrent.common.Torrent; Single-file torrent information:
INFO  - 2018-04-08 17:27:58.436; com.turn.ttorrent.common.Torrent;   Torrent name: Notepad++ 6.8.7 - DailyApp.rar
INFO  - 2018-04-08 17:27:58.436; com.turn.ttorrent.common.Torrent;   Announced at: Seems to be trackerless
INFO  - 2018-04-08 17:27:58.436; com.turn.ttorrent.common.Torrent;   Pieces......: 108 piece(s) (65536 byte(s)/piece)
INFO  - 2018-04-08 17:27:58.437; com.turn.ttorrent.common.Torrent;   Total size..: 7,067,632 byte(s)
INFO  - 2018-04-08 17:27:58.440; com.turn.ttorrent.client.storage.FileStorage; Initialized byte storage file at C:\Users\Nick\Downloads\Notepad++ 6.8.7 - DailyApp.rar.part (0+7067632 byte(s)).
INFO  - 2018-04-08 17:27:58.441; com.turn.ttorrent.client.storage.FileCollectionStorage; Initialized torrent byte storage on 1 file(s) (7067632 total byte(s)).
INFO  - 2018-04-08 17:27:58.523; com.turn.ttorrent.client.ConnectionHandler; Listening for incoming connections on cthulu/172.18.217.145:49152.
INFO  - 2018-04-08 17:27:58.526; com.turn.ttorrent.client.announce.Announce; Initialized announce sub-system with 0 trackers on Notepad++ 6.8.7 - DailyApp.rar.
INFO  - 2018-04-08 17:27:58.526; com.turn.ttorrent.client.Client; BitTorrent client [..626334] for Notepad++ 6.8.7 - DailyApp.rar started and listening at 172.18.217.145:49152...
INFO  - 2018-04-08 17:27:58.529; com.turn.ttorrent.client.SharedTorrent; Analyzing local data for Notepad++ 6.8.7 - DailyApp.rar with 16 threads (108 pieces)...
INFO  - 2018-04-08 17:27:58.532; com.turn.ttorrent.client.SharedTorrent;   ... 10% complete
INFO  - 2018-04-08 17:27:58.587; com.turn.ttorrent.client.SharedTorrent;   ... 20% complete
INFO  - 2018-04-08 17:27:58.618; com.turn.ttorrent.client.SharedTorrent;   ... 30% complete
INFO  - 2018-04-08 17:27:58.618; com.turn.ttorrent.client.SharedTorrent;   ... 40% complete
INFO  - 2018-04-08 17:27:58.620; com.turn.ttorrent.client.SharedTorrent;   ... 50% complete
INFO  - 2018-04-08 17:27:58.622; com.turn.ttorrent.client.SharedTorrent;   ... 60% complete
INFO  - 2018-04-08 17:27:58.622; com.turn.ttorrent.client.SharedTorrent;   ... 70% complete
INFO  - 2018-04-08 17:27:58.630; com.turn.ttorrent.client.SharedTorrent;   ... 80% complete
INFO  - 2018-04-08 17:27:58.632; com.turn.ttorrent.client.SharedTorrent;   ... 90% complete
INFO  - 2018-04-08 17:27:58.645; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:28:01.645; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:28:04.646; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:28:07.647; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
INFO  - 2018-04-08 17:28:10.647; com.turn.ttorrent.client.Client; SHARING 0/108 pieces (0.00%) [0/0] with 0/0 peers at 0.00/0.00 kB/s.
DEBUG - 2018-04-08 17:31:50.921; org.bitnick.web.litetorrent.runtime.cli.CommandLine; Initiliazing Client.
INFO  - 2018-04-08 17:31:50.953; com.turn.ttorrent.common.Torrent; Single-file torrent information:
INFO  - 2018-04-08 17:31:50.953; com.turn.ttorrent.common.Torrent;   Torrent name: Notepad++ 6.8.7 - DailyApp.rar
INFO  - 2018-04-08 17:31:50.953; com.turn.ttorrent.common.Torrent;   Announced at: Seems to be trackerless
INFO  - 2018-04-08 17:31:50.954; com.turn.ttorrent.common.Torrent;   Pieces......: 108 piece(s) (65536 byte(s)/piece)
INFO  - 2018-04-08 17:31:50.954; com.turn.ttorrent.common.Torrent;   Total size..: 7,067,632 byte(s)
DEBUG - 2018-04-08 17:31:50.956; com.turn.ttorrent.client.storage.FileStorage; Downloading new file to C:\Users\Nick\Downloads\Notepad++ 6.8.7 - DailyApp.rar.part...
INFO  - 2018-04-08 17:31:50.958; com.turn.ttorrent.client.storage.FileStorage; Initialized byte storage file at C:\Users\Nick\Downloads\Notepad++ 6.8.7 - DailyApp.rar.part (0+7067632 byte(s)).
INFO  - 2018-04-08 17:31:50.959; com.turn.ttorrent.client.storage.FileCollectionStorage; Initialized torrent byte storage on 1 file(s) (7067632 total byte(s)).
INFO  - 2018-04-08 17:31:51.041; com.turn.ttorrent.client.ConnectionHandler; Listening for incoming connections on cthulu/172.18.217.145:49152.
INFO  - 2018-04-08 17:31:51.044; com.turn.ttorrent.client.announce.Announce; Initialized announce sub-system with 0 trackers on Notepad++ 6.8.7 - DailyApp.rar.
